benchmark,WebPL,WebPL (GC),SWI-Prolog,Trealla Prolog,Tau Prolog
chat_parser,6310352,5851611,38350572,27317215,87087249
crypt,5138703,5138722,38488891,26317680,31162036
derive,5134486,5134505,38746818,26311558,5991995
divide10,5133856,5133875,38221900,26310550,5729221
fib,38554532,5589943,37957072,33318610,712990793
log10,5133977,5133996,38484165,26310746,5729342
mu,5134262,5134281,38222306,26311202,6253915
nreverse,5132613,5132632,38220657,26439638,9922282
ops8,5133782,5133801,38221826,26310434,5729147
poly_10,38568226,5472557,38495806,37583149,239045035
qsort,5132640,5133411,37959292,26440882,7367157
queens_8,5138326,5138345,38226370,26317166,72842555
query,5138311,5138330,38488499,26562868,5995820
tak,139874597,38687032,43004753,91432397,3341132882
times10,5133828,5133847,38221872,26310510,5729193
zebra,5137576,5137595,38225620,26316099,110064289